row,col,northing_km,easting_km,fire_norm,animal_norm,danger,removed,residual,has_stationary,has_camera,covered_by_drone,covered_by_human
8,29,-29.36,-36.23,0.0473456881000193,0.7777916563135443,0.8251373444135636,0.04413468915869562,0.7810026552548679,0,0,1,0
8,30,-29.36,-31.23,0.08711702257744391,0.7867804590625086,0.8738974816399525,0.15183778416167262,0.7220596974782799,0,0,1,0
8,31,-29.36,-26.23,0.12175409773546876,0.7916770736460709,0.9134311713815396,0.5231411175781266,0.390290053803413,0,0,1,0
8,32,-29.36,-21.23,0.19794632916743232,0.7879084989430407,0.9858548281104731,0.900553357802133,0.08530147030834012,0,0,1,0
8,33,-29.36,-16.23,0.23683927434049898,0.7684800302978908,1.0053193046383897,1.0053193046383897,0.0,0,0,1,0
8,34,-29.36,-11.23,0.25552703839749935,0.7270934597014945,0.9826204980989939,0.9219417463298515,0.06067875176914239,0,0,1,0
8,35,-29.36,-6.23,0.2593084760784241,0.6668976965246209,0.926206172603045,0.5915562175157316,0.33464995508731343,0,0,1,1
8,36,-29.36,-1.23,0.2524141419209361,0.6039206786019812,0.8563348205229173,0.32398487584388036,0.532349944679037,0,0,1,1
8,37,-29.36,3.77,0.15310198314193152,0.5990390215462186,0.75214100468815,0.3407133869992345,0.41142761768891556,0,0,1,1
8,38,-29.36,8.77,0.07150675781328633,0.6411898517061849,0.7126966095194712,0.3158588332404889,0.3968377762789823,0,0,1,1
8,39,-29.36,13.77,0.03171424865427323,0.6635172321438687,0.6952314807981419,0.6952314807981419,0.0,1,0,1,1
8,40,-29.36,18.77,0.0864967938438414,0.6647844202908492,0.7512812141346905,0.21705970733978902,0.5342215067949014,0,0,1,0
8,41,-29.36,23.77,0.2100356711734608,0.6532206130090669,0.8632562841825276,0.19948650625896394,0.6637697779235637,0,0,0,0
8,42,-29.36,28.77,0.272767665874994,0.6381116741385267,0.9108793400135207,0.23941097441874476,0.671468365594776,0,0,0,0
8,43,-29.36,33.77,0.30428707307084035,0.6237293581937634,0.9280164312646038,0.33409017394622037,0.5939262573183834,0,0,0,0
8,44,-29.36,38.77,0.26647964479672415,0.607040629220634,0.8735202740173581,0.868614727770512,0.0049055462468461375,1,0,0,0
8,45,-29.36,43.77,0.24098210804682876,0.5874627576062156,0.8284448656530443,0.3747585263620882,0.45368633929095614,0,0,0,0
8,46,-29.36,48.77,0.2710477481578185,0.5679913542332174,0.839039102391036,0.3317749369838001,0.5072641654072358,0,0,0,0
8,47,-29.36,53.77,0.26523458273979067,0.5486664080898821,0.8139009908296728,0.6619023400723084,0.1519986507573644,0,1,0,0
8,48,-29.36,58.77,0.22437277000419656,0.5289808993633127,0.7533536693675092,0.30457628635815526,0.448777383009354,0,0,0,0
8,49,-29.36,63.77,0.17798637534815498,0.5089431297444157,0.6869295050925707,0.28272667100648424,0.4042028340860864,0,0,0,0
8,50,-29.36,68.77,0.12487198289666127,0.4895739230145549,0.6144459059112162,0.6009921192845951,0.013453786626621111,0,1,0,0
8,51,-29.36,73.77,0.21688942245867296,0.4726096052651048,0.6894990277237778,0.19268709959702035,0.49681192812675745,0,0,1,0
8,52,-29.36,78.77,0.2902553319581187,0.45976081732041285,0.7500161492785316,0.17551071065771526,0.5745054386208163,0,0,1,0
8,53,-29.36,83.77,0.3039096780227032,0.45229815543409846,0.7562078334568016,0.14994801322829454,0.6062598202285071,0,0,1,0
8,54,-29.36,88.77,0.3215527892560345,0.45008107660165747,0.771633865857692,0.16501507497473514,0.6066187908829569,0,0,1,0
8,55,-29.36,93.77,0.3380969825656173,0.44340446412522516,0.7815014466908425,0.13680940653212906,0.6446920401587135,0,0,1,0
8,56,-29.36,98.77,0.36594380701666507,0.43400740253868175,0.7999512095553468,0.20840030339846538,0.5915509061568814,0,0,1,1
8,57,-29.36,103.77,0.36433277634802547,0.43218769368807214,0.7965204700360976,0.32004739072732147,0.47647307930877614,0,0,1,1
8,58,-29.36,108.77,0.21219553569186064,0.43820485561494177,0.6504003913068024,0.37225113915290814,0.27814925215389424,0,0,1,1
8,59,-29.36,113.77,0.10934317014412474,0.44862045282101903,0.5579636229651438,0.31421412309968505,0.24374949986545874,0,0,1,0
8,60,-29.36,118.77,0.14319035071089023,0.46206695410622994,0.6052573048171201,0.1498774827070472,0.45537982211007294,0,0,1,0
8,61,-29.36,123.77,0.2492940638799378,0.4781195298775814,0.7274135937575192,0.03342349762172709,0.6939900961357921,0,0,1,0
9,5,-24.36,-156.23,0.01369693887667688,0.3150821297592906,0.3287790686359675,0.0,0.3287790686359675,0,0,0,0
9,6,-24.36,-151.23,0.028065534885148576,0.33299564543717036,0.36106118032231893,0.0,0.36106118032231893,0,0,0,0
9,7,-24.36,-146.23,0.04213898656085339,0.3542671694468716,0.396406156007725,0.0,0.396406156007725,0,0,0,0
9,8,-24.36,-141.23,0.035244109362005414,0.3764348093933566,0.411678918755362,0.0,0.411678918755362,0,0,0,0
