n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
4,20.0,17.14,1.58077,1.587995,1.517966,100.0,"17,13;16,13;16,14;17,14"
6,30.0,25.71,1.58073,1.587995,2.243828,150.0,"16,13;16,14;17,14;17,13;17,12;16,12"
6,30.0,25.71,1.580595,1.589527,2.235508,150.0,"9,22;10,22;10,21;10,20;9,20;9,21"
4,20.0,17.14,1.580184,1.595066,1.500921,100.0,"10,23;9,23;9,22;10,22"
6,30.0,25.71,1.580072,1.587995,2.242916,150.0,"17,11;17,12;17,13;16,13;16,12;16,11"
4,20.0,17.14,1.579919,1.595775,1.516555,100.0,"18,14;19,14;19,15;18,15"
4,20.0,17.14,1.579533,1.587238,1.513204,100.0,"9,20;10,20;10,21;9,21"
4,20.0,17.14,1.579346,1.587625,1.517021,100.0,"17,12;17,11;16,11;16,12"
6,30.0,25.71,1.579214,1.595775,2.210776,150.0,"19,14;18,14;18,15;19,15;20,15;20,14"
6,30.0,25.71,1.579057,1.665264,2.243112,150.0,"7,41;7,40;7,39;8,39;8,40;8,41"
6,30.0,25.71,1.578873,1.595775,2.243807,150.0,"17,15;18,15;18,14;17,14;16,14;16,15"
6,30.0,25.71,1.578512,1.587995,2.243861,150.0,"16,15;16,14;16,13;17,13;17,14;17,15"
4,20.0,17.14,1.578321,1.661266,1.513204,100.0,"8,32;9,32;9,31;8,31"
6,30.0,25.71,1.57766,1.587238,2.229291,150.0,"9,20;9,19;10,19;10,20;10,21;9,21"
4,20.0,17.14,1.577517,1.588687,1.48488,100.0,"19,14;20,14;20,15;19,15"
6,30.0,25.71,1.577258,1.587625,2.217509,150.0,"17,11;17,12;16,12;16,11;16,10;17,10"
4,20.0,17.14,1.577006,1.587412,1.517967,100.0,"17,15;17,14;16,14;16,15"
4,20.0,17.14,1.575563,1.585521,1.491614,100.0,"17,11;16,11;16,10;17,10"
4,20.0,17.14,1.575442,1.582004,1.504059,100.0,"10,20;9,20;9,19;10,19"
6,30.0,25.71,1.57407,1.649227,2.226825,150.0,"9,25;10,25;11,25;11,24;10,24;9,24"
6,30.0,25.71,1.573454,1.587995,2.243861,150.0,"16,13;17,13;17,14;16,14;15,14;15,13"
6,30.0,25.71,1.573354,1.587995,2.243828,150.0,"15,13;15,12;16,12;17,12;17,13;16,13"
6,30.0,25.71,1.570842,1.587625,2.24291,150.0,"15,11;15,12;16,12;17,12;17,11;16,11"
6,30.0,25.71,1.570713,1.629826,2.243819,150.0,"11,30;12,30;12,29;11,29;10,29;10,30"
6,30.0,25.71,1.569887,1.582004,2.229493,150.0,"9,18;10,18;10,19;10,20;9,20;9,19"
6,30.0,25.71,1.569817,1.587412,2.243863,150.0,"15,14;16,14;17,14;17,15;16,15;15,15"
6,30.0,25.71,1.569622,1.649385,2.197579,150.0,"8,34;7,34;7,33;7,32;8,32;8,33"
6,30.0,25.71,1.567259,1.588687,2.197828,150.0,"20,16;20,15;20,14;19,14;19,15;19,16"
4,20.0,17.14,1.567079,1.601718,1.51791,100.0,"10,27;10,28;11,28;11,27"
6,30.0,25.71,1.566772,1.601718,2.243761,150.0,"11,26;11,27;11,28;10,28;10,27;10,26"
4,20.0,17.14,1.566715,1.630272,1.484631,100.0,"7,37;7,38;6,38;6,37"
6,30.0,25.71,1.566454,1.585521,2.217259,150.0,"16,11;15,11;15,10;16,10;17,10;17,11"
4,20.0,17.14,1.566345,1.579625,1.504068,100.0,"9,18;10,18;10,19;9,19"
4,20.0,17.14,1.566329,1.575056,1.517968,100.0,"15,14;16,14;16,13;15,13"
4,20.0,17.14,1.566127,1.575056,1.517942,100.0,"16,12;15,12;15,13;16,13"
6,30.0,25.71,1.565896,1.575056,2.243838,150.0,"16,13;16,12;15,12;15,13;15,14;16,14"
6,30.0,25.71,1.565525,1.589527,2.238906,150.0,"11,21;10,21;9,21;9,22;10,22;11,22"
6,30.0,25.71,1.565525,1.595775,2.241988,150.0,"19,16;18,16;18,15;18,14;19,14;19,15"
4,20.0,17.14,1.565312,1.59776,1.517967,100.0,"12,29;11,29;11,28;12,28"
6,30.0,25.71,1.564651,1.587412,2.243862,150.0,"16,15;16,14;17,14;17,15;17,16;16,16"
6,30.0,25.71,1.564611,1.595066,2.226816,150.0,"10,23;9,23;9,22;10,22;11,22;11,23"
6,30.0,25.71,1.564526,1.575056,2.243864,150.0,"16,14;16,13;15,13;15,14;15,15;16,15"
6,30.0,25.71,1.564392,1.575056,2.243171,150.0,"15,13;16,13;16,12;16,11;15,11;15,12"
6,30.0,25.71,1.564246,1.627655,2.217478,150.0,"11,23;10,23;9,23;9,24;10,24;11,24"
6,30.0,25.71,1.56361,1.595775,2.243791,150.0,"18,16;18,15;18,14;17,14;17,15;17,16"
4,20.0,17.14,1.563176,1.572616,1.517969,100.0,"16,14;15,14;15,15;16,15"
4,20.0,17.14,1.562976,1.573674,1.517276,100.0,"16,11;15,11;15,12;16,12"
4,20.0,17.14,1.562068,1.665965,1.516373,100.0,"7,42;6,42;6,41;7,41"
4,20.0,17.14,1.56115,1.59776,1.517967,100.0,"12,30;11,30;11,29;12,29"
6,30.0,25.71,1.560356,1.573674,2.22707,150.0,"16,12;15,12;15,11;15,10;16,10;16,11"
6,30.0,25.71,1.559794,1.587238,2.239099,150.0,"9,21;9,20;10,20;11,20;11,21;10,21"
6,30.0,25.71,1.558676,1.649385,2.210324,150.0,"9,33;8,33;7,33;7,32;8,32;9,32"
4,20.0,17.14,1.558443,1.585717,1.517882,100.0,"10,26;10,27;11,27;11,26"
6,30.0,25.71,1.55816,1.59776,2.243862,150.0,"12,28;11,28;11,29;11,30;12,30;12,29"
4,20.0,17.14,1.55802,1.570564,1.501175,100.0,"15,11;15,10;16,10;16,11"
6,30.0,25.71,1.557946,1.575056,2.243864,150.0,"15,14;16,14;16,13;15,13;14,13;14,14"
4,20.0,17.14,1.557502,1.589565,1.517681,100.0,"10,25;10,26;11,26;11,25"
4,20.0,17.14,1.557443,1.570514,1.48488,100.0,"20,16;20,15;19,15;19,16"
6,30.0,25.71,1.557392,1.572616,2.243865,150.0,"16,16;15,16;15,15;15,14;16,14;16,15"
4,20.0,17.14,1.55697,1.578784,1.517967,100.0,"17,16;17,15;16,15;16,16"
6,30.0,25.71,1.556564,1.575056,2.243838,150.0,"16,12;15,12;14,12;14,13;15,13;16,13"
6,30.0,25.71,1.555251,1.572616,2.243865,150.0,"16,15;16,14;15,14;14,14;14,15;15,15"
6,30.0,25.71,1.555245,1.589565,2.24356,150.0,"10,27;10,26;10,25;11,25;11,26;11,27"
4,20.0,17.14,1.555044,1.635639,1.488215,100.0,"5,43;6,43;6,42;5,42"
6,30.0,25.71,1.554634,1.582004,2.229955,150.0,"9,20;9,19;10,19;11,19;11,20;10,20"
6,30.0,25.71,1.554571,1.601718,2.243806,150.0,"11,27;12,27;12,28;11,28;10,28;10,27"
6,30.0,25.71,1.554177,1.59776,2.243862,150.0,"12,28;12,27;11,27;11,28;11,29;12,29"
4,20.0,17.14,1.554097,1.576952,1.517653,100.0,"10,22;10,21;11,21;11,22"
6,30.0,25.71,1.553966,1.661266,2.238639,150.0,"8,31;8,32;8,33;9,33;9,32;9,31"
6,30.0,25.71,1.553484,1.578784,2.243863,150.0,"17,16;17,15;16,15;15,15;15,16;16,16"
