n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
3,17.071,30.0,1.061047,1.176147,1.344123,75.0,"19,32;20,32;20,31"
3,17.071,30.0,1.060325,1.281748,1.344144,75.0,"21,47;22,47;22,48"
3,17.071,30.0,1.060279,1.139941,1.344123,75.0,"22,40;22,39;23,40"
3,17.071,30.0,1.059331,1.123795,1.344144,75.0,"21,55;22,56;22,55"
3,17.071,30.0,1.05855,1.146433,1.344103,75.0,"23,58;22,58;23,59"
3,17.071,30.0,1.05842,1.167151,1.344144,75.0,"21,43;22,44;22,43"
3,17.071,30.0,1.058408,1.331146,1.344103,75.0,"23,51;22,50;23,50"
3,17.071,30.0,1.058043,1.102225,1.344103,75.0,"7,33;7,32;8,33"
3,17.071,30.0,1.057444,1.309901,1.344144,75.0,"21,33;21,34;20,34"
3,17.071,30.0,1.057144,1.102225,1.344103,75.0,"7,33;7,34;8,33"
3,17.071,30.0,1.056765,1.328255,1.344144,75.0,"20,54;21,54;21,53"
3,17.071,30.0,1.056156,1.210257,1.344102,75.0,"22,33;22,32;23,33"
3,17.071,30.0,1.055575,1.176147,1.344144,75.0,"19,33;19,32;20,32"
3,17.071,30.0,1.053748,1.176147,1.344144,75.0,"19,31;20,32;19,32"
3,17.071,30.0,1.053332,1.092675,1.344103,75.0,"6,59;6,58;5,59"
3,17.071,30.0,1.053203,1.14635,1.344144,75.0,"21,37;22,36;21,36"
3,17.071,30.0,1.051602,1.22368,1.344144,75.0,"21,49;22,50;22,49"
3,17.071,30.0,1.051555,1.102225,1.344103,75.0,"8,32;7,32;7,33"
3,17.071,30.0,1.051465,1.14635,1.344144,75.0,"22,36;21,37;22,37"
3,17.071,30.0,1.05129,1.231154,1.344144,75.0,"20,34;20,33;19,33"
3,17.071,30.0,1.050634,1.119562,1.344144,75.0,"5,54;5,55;4,54"
3,17.071,30.0,1.05056,1.42201,1.344144,75.0,"21,48;20,47;20,48"
3,17.071,30.0,1.050386,1.210257,1.344082,75.0,"22,32;23,32;22,33"
3,17.071,30.0,1.050215,1.146433,1.344103,75.0,"23,58;23,59;22,59"
3,17.071,30.0,1.049628,1.112259,1.344082,75.0,"6,37;6,36;7,37"
3,17.071,30.0,1.049578,1.102225,1.344103,75.0,"7,33;7,34;8,34"
3,17.071,30.0,1.049064,1.087824,1.344144,75.0,"5,53;4,52;4,53"
3,17.071,30.0,1.048383,1.19813,1.344123,75.0,"22,57;22,58;23,57"
3,17.071,30.0,1.047457,1.110032,1.344144,75.0,"5,55;5,54;4,55"
3,17.071,30.0,1.046981,1.110032,1.344123,75.0,"4,55;5,55;4,56"
3,17.071,30.0,1.046311,1.14635,1.344144,75.0,"20,37;21,37;20,36"
3,17.071,30.0,1.044572,1.176147,1.344123,75.0,"20,32;20,31;19,31"
3,17.071,30.0,1.043379,1.112259,1.344102,75.0,"7,35;6,36;7,36"
3,17.071,30.0,1.042742,1.124049,1.344144,75.0,"20,38;19,37;20,37"
3,17.071,30.0,1.042695,1.42201,1.344144,75.0,"21,47;20,47;21,48"
3,17.071,30.0,1.042639,1.071066,1.344144,75.0,"6,57;5,57;6,58"
3,17.071,30.0,1.042151,1.167151,1.344144,75.0,"22,43;22,42;21,43"
3,17.071,30.0,1.041723,1.119562,1.344144,75.0,"5,53;5,54;4,54"
3,17.071,30.0,1.041061,1.309901,1.344144,75.0,"22,34;21,34;21,33"
3,17.071,30.0,1.040075,1.06994,1.344144,75.0,"4,50;4,51;5,50"
3,17.071,30.0,1.038854,1.06994,1.344144,75.0,"4,52;5,51;4,51"
3,17.071,30.0,1.038355,1.110032,1.344144,75.0,"5,55;5,56;4,55"
3,17.071,30.0,1.038203,1.087824,1.344144,75.0,"4,52;5,52;4,53"
3,17.071,30.0,1.03778,1.06994,1.344144,75.0,"4,50;5,51;4,51"
3,17.071,30.0,1.037022,1.14635,1.344144,75.0,"20,36;21,36;21,37"
3,17.071,30.0,1.036674,1.110032,1.344123,75.0,"5,56;4,55;4,56"
3,17.071,30.0,1.035341,1.139941,1.344103,75.0,"23,40;23,39;22,39"
3,17.071,30.0,1.034166,1.123795,1.344144,75.0,"22,56;22,55;21,56"
3,17.071,30.0,1.032242,1.06994,1.344144,75.0,"4,51;5,52;4,52"
3,17.071,30.0,1.031195,1.231154,1.344144,75.0,"21,34;20,33;20,34"
