n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
3,17.071,30.0,1.498945,1.539548,1.344144,75.0,"14,29;13,30;13,29"
3,17.071,30.0,1.487448,1.539548,1.344144,75.0,"14,29;13,30;14,30"
3,17.071,30.0,1.486346,1.515196,1.344144,75.0,"14,29;13,28;13,29"
3,17.071,30.0,1.460015,1.501751,1.344144,75.0,"14,29;13,28;14,28"
3,17.071,30.0,1.436994,1.480706,1.344144,75.0,"14,29;14,30;15,29"
3,17.071,30.0,1.479331,1.515196,1.344144,75.0,"14,29;14,30;13,29"
3,17.071,30.0,1.449054,1.480706,1.344144,75.0,"14,29;14,30;15,30"
3,17.071,30.0,1.487448,1.539548,1.344144,75.0,"14,29;14,30;13,30"
3,17.071,30.0,1.42216,1.442092,1.344144,75.0,"14,29;14,28;15,29"
3,17.071,30.0,1.464497,1.515196,1.344144,75.0,"14,29;14,28;13,29"
3,17.071,30.0,1.406557,1.442092,1.344144,75.0,"14,29;14,28;15,28"
3,17.071,30.0,1.460015,1.501751,1.344144,75.0,"14,29;14,28;13,28"
3,17.071,30.0,1.436994,1.480706,1.344144,75.0,"14,29;15,29;14,30"
3,17.071,30.0,1.42216,1.442092,1.344144,75.0,"14,29;15,29;14,28"
3,17.071,30.0,1.418214,1.442092,1.344144,75.0,"14,29;15,29;15,30"
3,17.071,30.0,1.390551,1.442092,1.344144,75.0,"14,29;15,29;15,28"
3,17.071,30.0,1.479331,1.515196,1.344144,75.0,"14,29;13,29;14,30"
3,17.071,30.0,1.464497,1.515196,1.344144,75.0,"14,29;13,29;14,28"
3,17.071,30.0,1.498945,1.539548,1.344144,75.0,"14,29;13,29;13,30"
3,17.071,30.0,1.486346,1.515196,1.344144,75.0,"14,29;13,29;13,28"
3,17.071,30.0,1.095975,1.121924,1.344103,75.0,"22,33;23,34;23,33"
3,17.071,30.0,1.107588,1.156763,1.344123,75.0,"22,33;23,34;22,34"
3,17.071,30.0,1.105828,1.147473,1.344082,75.0,"22,33;23,32;23,33"
3,17.071,30.0,1.017508,1.147473,1.344082,75.0,"22,33;23,32;22,32"
3,17.071,30.0,0.977672,1.13854,1.344144,75.0,"22,33;21,34;21,33"
3,17.071,30.0,1.114464,1.156763,1.344144,75.0,"22,33;21,34;22,34"
3,17.071,30.0,0.807562,1.048089,1.344144,75.0,"22,33;21,32;21,33"
3,17.071,30.0,0.84442,1.048089,1.344123,75.0,"22,33;21,32;22,32"
3,17.071,30.0,1.108925,1.156763,1.344123,75.0,"22,33;22,34;23,33"
3,17.071,30.0,0.983746,1.156763,1.344144,75.0,"22,33;22,34;21,33"
3,17.071,30.0,1.107588,1.156763,1.344123,75.0,"22,33;22,34;23,34"
